Date,AMAN_gross_nav,AMAN_net_nav
2022-11-30,3172399.1608165875,1571644.6984327554
2022-12-01,3216518.6134646153,1593377.2721891196
2022-12-02,3215991.5853164066,1592989.738029989
2022-12-05,3174364.4900069623,1572243.997724205
2022-12-06,3189539.5933257607,1579635.3555692977
2022-12-07,3217817.7999867816,1593514.9102524826
2022-12-08,3207995.4467550064,1588524.2541826346
2022-12-09,3198290.0725614224,1583592.3067067
2022-12-12,3184976.6688819584,1576874.6637094761
2022-12-13,3223948.1691787317,1596044.215583366
2022-12-14,3226108.5001959,1596987.0364919857
2022-12-15,3208764.3752081613,1588274.6091529145
2022-12-16,3215073.53341448,1591271.4635647524
2022-12-19,3195799.2776002567,1581605.5542073902
2022-12-20,3203092.8461693996,1585089.6272930976
2022-12-21,3203347.488192224,1585089.8392449971
2022-12-22,3187268.8442666437,1577007.9565188212
2022-12-23,3182433.38242015,1574490.2905385306
2022-12-26,3182433.38242015,1574365.3309916623
2022-12-27,3177178.5025601205,1571640.7666410252
2022-12-28,3166882.396665369,1566422.9043122265
2022-12-29,3183305.0588741237,1574421.6635104853
2022-12-30,3181318.527035102,1573314.1963601643
2023-01-02,3181318.527035102,1573189.330154104
2023-01-03,3206916.9232419506,1585723.100600225
2023-01-04,3233740.9360610438,1598860.9098910007
2023-01-05,3214842.352351495,1589389.975521897
2023-01-06,3263722.7026142455,1613429.851632526
2023-01-09,3271630.4322640607,1617211.008472881
2023-01-10,3264101.358010866,1613360.9355338684
2023-01-11,3275793.342540363,1619011.9367707432
2023-01-12,3308486.5156818577,1635041.5563244452
2023-01-13,3313797.3306545718,1637536.3758484998
2023-01-16,3313797.3306545718,1637406.4126440673
2023-01-17,3298894.8732197676,1629912.8895254899
2023-01-18,3321982.7605226315,1641190.7590989613
2023-01-19,3339282.9455606733,1649607.4809274834
2023-01-20,3321581.904957956,1640732.2365987962
2023-01-23,3317670.830237942,1638670.1010013025
2023-01-24,3333951.4306575125,1646581.392032445
2023-01-25,3342304.3954141736,1650576.0969035695
2023-01-26,3322944.552638147,1640884.3616727584
2023-01-27,3318076.9370259326,1638350.483157589
2023-01-30,3308438.34055336,1633461.2531024858
2023-01-31,3323305.204126015,1640671.766922096
2023-02-01,3354391.432190177,1655888.413980398
2023-02-02,3325739.9260550095,1641613.237338777
2023-02-03,3271116.7972684545,1614520.514161379
2023-02-06,3256912.419657389,1607381.5429450662
2023-02-07,3253313.568163091,1605477.8345034306
2023-02-08,3263737.422220834,1610494.48375673
2023-02-09,3244603.4900891925,1600925.0088542642
2023-02-10,3237687.5649847323,1597385.5536224775
2023-02-13,3235721.7911906578,1596288.9185359918
2023-02-14,3227907.874031439,1592307.3643444406
2023-02-15,3209236.469998529,1582970.5004499222
2023-02-16,3201796.7870388874,1579175.2103778722
2023-02-17,3211017.5735839168,1583597.712150862
2023-02-20,3211017.5735839168,1583472.0297927547
2023-02-21,3185234.5293047717,1570631.7806363911
2023-02-22,3181473.5273041674,1568652.585931179
2023-02-23,3188191.7879756363,1571840.585267341
2023-02-24,3167447.0144941215,1561488.2590496296
2023-02-27,3205066.939926333,1578348.7167204167
2023-02-28,3181669.5046726204,1566701.2853909542
2023-03-01,3198644.099713136,1574935.4865483926
2023-03-02,3205066.9399263333,1577972.9438391326
2023-03-03,3251862.9464154015,1600887.1119047697
2023-03-06,3243605.1171871615,1596694.7407822844
2023-03-07,3189468.397316826,1569918.7158788363
2023-03-08,3206902.686262471,1578375.6171055557
2023-03-09,3183504.872348211,1566734.39670919
2023-03-10,3149554.3569552633,1549901.6001123923
2023-03-13,3127991.9107165937,1539167.6718551025
2023-03-14,3169740.940093199,1559588.6494908712
2023-03-15,3071560.8865866335,1511157.9289396144
2023-03-16,3119274.955574045,1534512.540581783
2023-03-17,3082113.398735047,1516109.301993441
2023-03-20,3130285.8363156714,1539685.2748802144
2023-03-21,3177540.211397953,1562805.9600093367
2023-03-22,3166529.5199866006,1557266.5520541258
2023-03-23,3166988.077910087,1557368.4735269228
2023-03-24,3157354.006920565,1552507.3120989967
2023-03-27,3187174.471717749,1567047.163061604
2023-03-28,3196450.659255037,1569916.5966603488
2023-03-29,3186801.8507849793,1565053.0486335936
2023-03-30,3201238.2441735,1572018.6172766136
2023-03-31,3205086.1363301477,1573783.4221319968
2023-04-03,3223380.989754339,1582641.7833484716
2023-04-04,3259869.817033394,1600431.757690642
2023-04-05,3267041.486990656,1603825.6677389499
2023-04-06,3258303.904560031,1599409.0071613863
2023-04-07,3258303.904560031,1599282.0699385956
2023-04-10,3229397.8539405786,1584967.1082106847
2023-04-11,3236783.442321473,1588466.1151010906
2023-04-12,3248771.1807808112,1594223.0832342592
2023-04-13,3259885.9863366866,1599550.767383703
2023-04-14,3227151.113660541,1583361.5728902095
2023-04-17,3209070.548756208,1574364.9048866625
2023-04-18,3217186.5740658343,1578221.664393568
2023-04-19,3206919.230523663,1573059.6650664129
2023-04-20,3223135.2887114845,1580889.1282371199
2023-04-21,3205690.5683560646,1572207.3433834224
2023-04-24,3218954.2332272646,1578587.6318301333
2023-04-25,3244612.2555606305,1591045.14069376
2023-04-26,3233630.9976763255,1584461.1577040427
2023-04-27,3268722.286254031,1601529.942547885
2023-04-28,3277588.549599239,1605746.9155029093
2023-05-01,3270006.8697390403,1601905.0801100733
2023-05-02,3267116.3986217426,1600361.9659974764
2023-05-03,3271855.3353456166,1602556.2705271803
2023-05-04,3269480.9043429876,1601266.0861081306
2023-05-05,3289264.5709157814,1610828.2810102934
2023-05-08,3291174.9034014554,1611635.971116806
2023-05-09,3289413.1351006394,1610645.3536016997
2023-05-10,3290518.1720421417,1611058.6006400087
2023-05-11,3276636.5933232363,1604134.2297203068
2023-05-12,3271384.377981184,1601435.6044361005
2023-05-15,3286094.780845261,1608509.6665479583
2023-05-16,3254670.5541006527,1593000.1705992934
2023-05-17,3269116.667113788,1599944.399431687
2023-05-18,3263797.5598362186,1597214.1856437486
2023-05-19,3279490.163083361,1604766.9578957385
2023-05-22,3277732.8264634702,1603779.6703890562
2023-05-23,3250266.543162856,1590213.259577529
2023-05-24,3217476.358631157,1574044.2490600313
2023-05-25,3199754.9276636373,1564739.4131004685
2023-05-26,3221823.2913260846,1575407.065928493
2023-05-29,3221823.2913260846,1575282.0336216732
2023-05-30,3215494.6889704713,1572062.6970292088
2023-05-31,3201307.1789709865,1565001.624108111
2023-06-01,3237731.376618695,1582683.8714592275
2023-06-02,3234849.2926772204,1581149.4270956516
2023-06-05,3235236.320431906,1581213.1128395349
2023-06-06,3250449.5941164186,1588523.0666259588
2023-06-07,3216636.4006778086,1571872.190819159
2023-06-08,3254899.8134678695,1590445.6029156873
2023-06-09,3247804.6031791796,1586852.4359539964
2023-06-12,3253416.3193031177,1589468.3367710104
2023-06-13,3256831.183862185,1591010.532949889
2023-06-14,3263797.0343749146,1594287.183981239
2023-06-15,3292535.404277817,1608198.663074088
2023-06-16,3286419.9714119094,1605084.0198446165
2023-06-19,3286419.9714119094,1604956.6322239938
2023-06-20,3247693.005906123,1585916.5470635039
2023-06-21,3247810.929315808,1585848.2651428005
2023-06-22,3221631.508750499,1572939.4591059193
2023-06-23,3198463.0130787375,1560959.544308309
2023-06-26,3197066.364878538,1560154.0464529567
2023-06-27,3214420.0463107713,1568498.7434067535
2023-06-28,3213496.125768875,1567923.4258891356
2023-06-29,3215253.852128205,1568656.614302067
2023-06-30,3248693.5430283146,1584846.6592164808
2023-07-03,3249846.962844542,1585283.5634793246
2023-07-04,3249846.962844542,1585157.7473234928
2023-07-05,3231985.167592806,1576319.6037882322
2023-07-06,3200767.570517171,1560968.9000213342
2023-07-07,3213728.335937383,1567165.7948807185
2023-07-10,3220471.4377847146,1570329.6717355223
2023-07-11,3241360.7851786846,1580390.8684998027
2023-07-12,3285386.8448592653,1601731.2345916692
2023-07-13,3313460.6698277285,1615291.0012307523
2023-07-14,3302981.766840495,1610054.404977166
2023-07-17,3306261.046757799,1611525.12370555
2023-07-18,3333830.306552094,1624834.9281323084
2023-07-19,3335930.091926153,1625729.3617854388
2023-07-20,3317162.361894081,1616454.0858962426
2023-07-21,3316407.8874344053,1615958.1402880424
2023-07-24,3314407.479748149,1614828.0823427413
2023-07-25,3324629.3184181387,1619680.1515571924
2023-07-26,3332949.0454773637,1623604.778211363
2023-07-27,3306042.2023271653,1610368.5858608293
2023-07-28,3333632.946969887,1623680.1923990555
2023-07-31,3339005.3373853792,1626168.006865042
2023-08-01,3310814.254729914,1612309.2773249126
2023-08-02,3269177.9194128844,1591905.141124951
2023-08-03,3262538.8462360986,1588545.9455055255
2023-08-04,3264134.244141738,1589196.677387863
2023-08-07,3280922.9313919223,1597244.3952461567
2023-08-08,3262729.0265450757,1588260.3316881529
2023-08-09,3249860.6918072943,1581870.1165408446
2023-08-10,3253796.0359456786,1583660.1005672647
2023-08-11,3245836.7207816085,1579660.5226653144
2023-08-14,3244193.5989186442,1578735.4900255813
2023-08-15,3214863.9202468265,1564337.3694437754
2023-08-16,3191969.878500785,1553073.0847395966
2023-08-17,3174353.7892274726,1544378.6055828931
2023-08-18,3175061.3582150983,1544600.2805329477
2023-08-21,3188983.479738446,1551250.5112382458
2023-08-22,3185901.977236576,1549564.8935162611
2023-08-23,3220067.6708662007,1566059.4854057468
2023-08-24,3190621.949382311,1551614.4551140026
2023-08-25,3203702.335986825,1557852.3646145642
2023-08-28,3224123.932398377,1567659.058921849
2023-08-29,3263619.17161103,1586738.3293702493
2023-08-30,3270807.681145171,1590107.377718956
2023-08-31,3263475.726110118,1586416.7393128225
2023-09-01,3265731.159862308,1587387.2280355315
2023-09-04,3265731.159862308,1587261.2449221953
2023-09-05,3243180.586566931,1576174.8928631486
2023-09-06,3228162.286807985,1568750.9562811174
2023-09-07,3222658.1650518305,1565951.6808031586
2023-09-08,3223475.0531076654,1566224.3405658607
2023-09-11,3243019.552678426,1575596.3323329354
2023-09-12,3226925.5999882384,1567652.1607537924
2023-09-13,3222828.1987510026,1565537.211533034
2023-09-14,3245925.150461954,1576632.6538087574
2023-09-15,3236843.2159429174,1572096.1857521236
2023-09-18,3240766.3507696544,1573876.8360581063
2023-09-19,3238050.573335804,1572433.0090121164
2023-09-20,3229041.4474525517,1567623.7817755335
2023-09-21,3173418.7684119088,1540495.8629333393
2023-09-22,3170257.0721344235,1538838.7960284168
2023-09-25,3165628.7838684744,1536470.1006612943
2023-09-26,3124452.6000655587,1516362.8793318954
2023-09-27,3107876.352931,1508197.730013025
2023-09-28,3119800.8105313885,1513864.7613160983
2023-09-29,3107889.9583805874,1507964.943255786
2023-10-02,3076712.304597306,1492717.6979964671
2023-10-03,3042025.6521365163,1475770.4270440259
2023-10-04,3056806.4092955543,1482823.8547950715
2023-10-05,3063953.5049283723,1486173.1494500702
2023-10-06,3088121.437055576,1497777.8744128442
2023-10-09,3116417.3266890165,1511382.8667683217
2023-10-10,3131734.8540424625,1518691.525582229
2023-10-11,3155788.83108972,1530235.6381650062
2023-10-12,3132624.7071809806,1518881.95393673
2023-10-13,3150345.3848994165,1527353.4416237285
2023-10-16,3167708.0683941804,1535650.0157991757
2023-10-17,3168918.393640392,1536114.8835337427
2023-10-18,3145246.3916720147,1524518.1034601175
2023-10-19,3129221.720235722,1516237.671495014
2023-10-20,3120940.4748941893,1512104.7284356656
2023-10-23,3116792.7181897075,1509975.1199486493
2023-10-24,3131639.405798418,1517047.9722854157
2023-10-25,3105157.4238920542,1504099.0075214722
2023-10-26,3110985.7036974514,1506802.7796537296
2023-10-27,3108948.4135092627,1505696.4326890612
2023-10-30,3118526.132690421,1510215.5231596872
2023-10-31,3126511.379386141,1513962.6978007574
2023-11-01,3147443.493720036,1523978.5807151524
